,0
1114,44400.29999999999
1115,44215.99999999999
1116,44412.999999999985
1117,44172.099999999984
1118,44377.99999999998
1119,44243.39999999999
1120,44355.99999999998
1121,44303.59999999998
1122,44511.99999999998
1123,44662.89999999998
1124,44539.89999999998
1125,44488.59999999998
1126,44201.19999999998
1127,44453.99999999998
1128,44205.99999999998
1129,44305.39999999998
1130,44310.49999999997
1131,44322.799999999974
1132,44225.89999999998
1133,44261.199999999975
1134,44327.79999999998
1135,44264.39999999997
1136,44284.299999999974
1137,44355.59999999998
1138,44292.09999999998
1139,44406.09999999996
1140,44413.49999999997
1141,44355.69999999997
1142,44550.99999999997
1143,44436.49999999997
1144,44413.79999999997
1145,44348.799999999974
1146,44331.89999999997
1147,44273.399999999965
1148,44453.799999999974
1149,44282.39999999997
1150,44461.39999999998
1151,44333.699999999975
1152,44252.799999999974
1153,44389.49999999998
1154,44252.49999999998
1155,44260.49999999998
1156,44410.59999999998
1157,44279.299999999974
1158,44397.89999999998
1159,44211.599999999984
1160,44478.999999999985
1161,44165.29999999998
1162,44396.99999999998
1163,44374.299999999974
1164,44479.29999999998
1165,44389.699999999975
1166,44354.29999999997
1167,44400.49999999997
1168,44244.799999999974
1169,44306.799999999974
1170,44253.699999999975
1171,44396.09999999997
1172,44259.99999999997
1173,44302.09999999997
1174,44487.19999999996
1175,44292.59999999997
1176,44425.999999999956
1177,44314.999999999956
1178,44454.999999999956
1179,44273.29999999996
1180,44481.799999999974
1181,44364.799999999974
1182,44247.49999999997
1183,44445.19999999996
1184,44152.29999999997
1185,44345.399999999965
1186,44471.29999999997
1187,44248.69999999997
1188,44493.99999999997
1189,44304.69999999997
1190,44527.39999999997
1191,44427.99999999997
1192,44369.39999999997
1193,44405.39999999997
1194,44541.99999999997
1195,44161.39999999997
1196,44284.299999999974
1197,44517.39999999997
1198,44146.59999999997
1199,44442.99999999998
1200,44289.89999999997
1201,44595.59999999998
1202,44537.799999999974
1203,44511.799999999974
1204,44210.99999999998
1205,44313.299999999974
1206,44403.49999999998
1207,44199.599999999984
1208,44338.89999999999
1209,44480.39999999998
1210,44197.39999999998
1211,44447.299999999996
1212,44443.299999999996
1213,44306.29999999999
1214,44307.99999999999
1215,44518.09999999999
1216,44261.99999999999
1217,44554.99999999999
1218,44420.1
1219,44535.99999999999
1220,44397.6
1221,44634.69999999999
1222,44543.999999999985
1223,44492.69999999998
1224,44503.99999999999
1225,44249.79999999998
1226,44515.99999999999
1227,44191.499999999985
1228,44448.99999999999
1229,44362.499999999985
1230,44420.89999999999
1231,44319.799999999996
1232,44175.69999999998
1233,44249.19999999998
1234,44381.499999999985
1235,44370.29999999999
1236,44381.599999999984
1237,44350.29999999998
1238,44264.999999999985
1239,44327.799999999974
1240,44304.499999999985
1241,44383.09999999998
1242,44364.89999999998
1243,44318.89999999999
1244,44438.999999999985
1245,44234.79999999998
1246,44316.599999999984
1247,44508.29999999998
1248,44117.39999999998
1249,44306.09999999998
1250,44228.89999999999
1251,44329.09999999999
1252,44271.59999999999
1253,44340.89999999999
1254,44302.89999999999
1255,44350.19999999999
1256,44311.99999999999
1257,44410.79999999999
1258,44241.59999999999
1259,44521.8
1260,44249.7
1261,44676.80000000001
1262,44480.30000000001
1263,44432.00000000001
1264,44345.40000000001
1265,44366.200000000004
1266,44381.30000000001
1267,44304.400000000016
1268,44294.60000000001
1269,44345.000000000015
1270,44287.20000000001
1271,44284.900000000016
1272,44312.10000000001
1273,44387.10000000001
1274,44244.000000000015
1275,44469.2
1276,44436.4
1277,44358.8
1278,44324.2
1279,44368.90000000001
1280,44317.70000000001
1281,44330.700000000004
1282,44210.700000000004
1283,44220.90000000001
1284,44503.1
1285,44207.9
1286,44210.600000000006
1287,44242.50000000001
1288,44312.40000000001
1289,44233.20000000001
1290,44423.30000000001
1291,44134.200000000004
1292,44489.00000000001
1293,44222.600000000006
1294,44421.00000000001
1295,44460.00000000001
1296,44369.00000000001
1297,44464.00000000001
1298,44093.20000000001
1299,44383.00000000001
1300,44173.30000000001
1301,44516.00000000001
1302,44215.600000000006
1303,44361.700000000004
1304,44317.80000000001
1305,44280.60000000001
1306,44312.700000000004
1307,44360.8
1308,44400.4
1309,44383.99999999999
1310,44374.0
1311,44248.1
1312,44334.2
1313,44269.799999999996
1314,44509.9
1315,44116.9
1316,44385.2
1317,44417.100000000006
1318,44421.0
1319,44411.3
1320,44560.00000000001
1321,44295.20000000001
1322,44563.00000000001
1323,44265.20000000001
1324,44429.30000000001
1325,44297.600000000006
1326,44401.60000000001
1327,44335.000000000015
1328,44165.40000000001
1329,44530.000000000015
1330,44267.500000000015
1331,44424.000000000015
1332,44186.80000000001
1333,44487.000000000015
1334,44134.30000000002
1335,44326.60000000001
1336,44364.20000000002
1337,44278.900000000016
1338,44457.70000000002
1339,44385.80000000002
1340,44312.70000000001
1341,44250.70000000001
1342,44403.30000000002
1343,44268.20000000001
1344,44480.00000000001
1345,44123.70000000001
1346,44409.000000000015
1347,44294.90000000001
1348,44285.60000000001
1349,44263.8
1350,44336.8
1351,44394.3
1352,44406.5
1353,44322.7
1354,44536.00000000001
1355,44219.80000000001
1356,44431.200000000004
1357,44396.90000000001
1358,44400.00000000001
1359,44279.50000000001
1360,44308.80000000001
1361,44377.50000000001
1362,44292.80000000001
1363,44289.100000000006
1364,44291.60000000001
1365,44314.900000000016
1366,44386.80000000002
1367,44276.30000000002
1368,44531.500000000015
1369,44483.70000000001
1370,44442.90000000002
1371,44307.000000000015
1372,44449.000000000015
1373,44131.000000000015
1374,44348.000000000015
1375,44401.3
1376,44234.3
1377,44347.3
1378,44310.8
1379,44347.7
1380,44262.700000000004
1381,44441.8
1382,44353.700000000004
1383,44451.00000000001
1384,44416.50000000001
1385,44275.00000000001
1386,44615.0
1387,44595.9
1388,44675.80000000001
1389,44415.50000000001
1390,44517.00000000001
1391,44252.50000000001
1392,44317.30000000001
1393,44321.600000000006
1394,44341.20000000001
